"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'pear'","ERROR","2019-11-24T11:14:50.944+07:00[Asia/Bangkok]","0.0","15.99"
"Login to shopee","Login with the valid password account","ERROR","2019-12-02T21:46:35.238+07:00[Asia/Bangkok]","0.0","34.23"
